FUNIT: Hz
UNIT: dB
0.0 [-0.2, -1.0] [0.0, 0.0] [0.2, +1.0]
3.333007e+09 [-1.44, 42.74] [-1.24, 43.74] [-1.04, 44.74]
3.460290e+09 [-1.45, 101.93] [-1.25, 102.93] [-1.05, 103.93]
3.592435e+09 [-1.47, 149.61] [-1.27, 150.61] [-1.07, 151.61]
3.729626e+09 [-1.50, -174.40] [-1.30, -173.40] [-1.10, -172.40]
3.872056e+09 [-1.55, -150.79] [-1.35, -149.79] [-1.15, -148.79]
4.019925e+09 [-1.57, -140.08] [-1.37, -139.08] [-1.17, -138.08]
4.173442e+09 [-1.60, -142.73] [-1.40, -141.73] [-1.20, -140.73]
4.332821e+09 [-1.64, -159.16] [-1.44, -158.16] [-1.24, -157.16]
4.498286e+09 [-1.68, 169.91] [-1.48, 170.91] [-1.28, 171.91]
4.670071e+09 [-1.74, 124.07] [-1.54, 125.07] [-1.34, 126.07]
4.848415e+09 [-1.77, 62.97] [-1.57, 63.97] [-1.37, 64.97]
5.033571e+09 [-1.81, -14.51] [-1.61, -13.51] [-1.41, -12.51]
5.225797e+09 [-1.90, -108.72] [-1.70, -107.72] [-1.50, -106.72]
5.425364e+09 [-1.88, 139.89] [-1.68, 140.89] [-1.48, 141.89]
5.632553e+09 [-2.08, 10.61] [-1.88, 11.61] [-1.68, 12.61]
5.847653e+09 [-2.16, -137.70] [-1.96, -136.70] [-1.76, -135.70]
6.070969e+09 [-2.29, 55.57] [-2.09, 56.57] [-1.89, 57.57]
6.302812e+09 [-2.47, -131.00] [-2.27, -130.00] [-2.07, -129.00]
6.543509e+09 [-2.49, 21.83] [-2.29, 22.83] [-2.09, 23.83]
6.793398e+09 [-2.34, 152.34] [-2.14, 153.34] [-1.94, 154.34]
7.052830e+09 [-2.25, -100.51] [-2.05, -99.51] [-1.85, -98.51]
7.322170e+09 [-2.25, -17.68] [-2.05, -16.68] [-1.85, -15.68]
7.601795e+09 [-2.31, 42.51] [-2.11, 43.51] [-1.91, 44.51]
7.892099e+09 [-2.39, 76.42] [-2.19, 77.42] [-1.99, 78.42]
8.193489e+09 [-2.32, 84.71] [-2.12, 85.71] [-1.92, 86.71]
8.506389e+09 [-2.47, 64.89] [-2.27, 65.89] [-2.07, 66.89]
8.831239e+09 [-2.51, 18.20] [-2.31, 19.20] [-2.11, 20.20]
9.168493e+09 [-2.52, -58.49] [-2.32, -57.49] [-2.12, -56.49]
9.518628e+09 [-2.63, -164.82] [-2.43, -163.82] [-2.23, -162.82]
9.882133e+09 [-2.72, 56.35] [-2.52, 57.35] [-2.32, 58.35]
1.025952e+10 [-2.71, -114.91] [-2.51, -113.91] [-2.31, -112.91]
